cs,econ,eess,math,physics:astro-ph,physics:cond-mat,physics:gr-qc,physics:hep-ex,physics:hep-lat,physics:hep-ph,physics:hep-th,physics:math-ph,physics:nlin,physics:nucl-ex,physics:nucl-th,physics:physics,physics:quant-ph,q-bio,q-fin,stat
0.030825034366207933,2.9377051243582572e-05,0.0006629021874080505,0.058791082197806446,0.04949933973179503,0.07276975548540841,0.0209008642204503,0.006405483200873238,0.004939273917887824,0.03445015015080128,0.02582117616509046,0.02570708071866284,0.008972324613648297,0.008496301744376903,0.05938659874143527,0.15009314803286533,0.4090195117567686,0.015317763738521634,0.0044670367883787,0.013445795190369965
0.028625258261446945,1.9299562764971003e-05,0.23480615028177612,0.08019570536841218,0.1098444780187872,0.17091930656392768,0.02282387140914644,0.008517498038151617,0.007710602619494039,0.029957380288938407,0.026296203549838037,0.01657472929636496,0.011586982191976746,0.01105415834572659,0.12377983993466209,0.037498695187963935,0.03516589469586119,0.011694411267232623,0.009668658069909325,0.02326087704761887
0.06074385470988031,0.001018244077201169,0.0017034935304439897,0.14355202481846502,0.10402758617144738,0.1261294880819413,0.04281183853641021,0.013166886757981949,0.017364100540680945,0.07792890789270691,0.04606696655846902,0.03883032248507641,0.02633865016408921,0.01514732612198699,0.054291885055597865,0.048619956994697025,0.038971522503451636,0.025630580905598447,0.01015304987038077,0.10750331422349328
0.023106705825611418,2.7667543575547487e-05,0.0010666972645616446,0.04979396195890929,0.02535333028487048,0.040969400467351876,0.05409477292724386,0.008810634187435154,0.025439110615831283,0.04161540659559759,0.2766676938957118,0.04394238468364599,0.007996567677736063,0.007353996182280102,0.018252742032803415,0.04544629946498916,0.2932487107238891,0.013552253801799152,0.006746854248142648,0.016514809618014395
0.011575273946490714,3.2295818655700245e-05,0.0002465456739882796,0.0344735787073697,0.0198215754336482,0.09480026914725281,0.007260973993537968,0.12175048855914503,0.005658722546059527,0.03505964082001845,0.01689713455308387,0.03574167880017707,0.004396909896829047,0.007205056223955916,0.02086471632230479,0.0513426537315596,0.4916374476763936,0.019772584543135113,0.013938596118021397,0.007523857488373136
0.08404259840827671,2.9100249952631288e-05,0.0029338274533506916,0.059637603597885204,0.07869097216917381,0.06227420028379754,0.03446026677299181,0.01447024179589043,0.01755620535879527,0.10791689828765813,0.23951532029510889,0.04486991657424031,0.01738909310376898,0.017067790222112182,0.029126148388058368,0.0772694743616247,0.05490041387386003,0.02531867944984489,0.009403190536777985,0.02312805881683154
0.026146410973393368,4.993967499006156e-05,0.00045637991886420887,0.5900625937607633,0.15450155228414136,0.03431983854163174,0.015360339401393154,0.007646610163841472,0.005185957522101277,0.01805119611676451,0.035131939113250486,0.025112079787557653,0.0059148340197718065,0.00397455002248872,0.008776244813697553,0.0242925031598326,0.018424577210915782,0.012441788803400319,0.0032862873184244883,0.010864377392776318
0.21710826218566243,2.9683602782346217e-05,0.0015904029908479964,0.08536279632142132,0.03646852520065806,0.06000517224896932,0.017445631083885228,0.03681100591502651,0.011648986620006338,0.03239655820533476,0.0276491672497353,0.020976743096549625,0.0121003688433039,0.024627661274917743,0.026481156892312622,0.037354651139426064,0.0692747511125016,0.025264618280796583,0.007469188993192617,0.2499346687426696
0.008393323634398563,8.235038261045854e-05,0.0002439466084730669,0.02367955695030314,0.0415546582525217,0.6491640888548322,0.008019556174810507,0.007010510023324864,0.003306839845560075,0.015489249305586615,0.0263589460598083,0.01139045592131045,0.003795655332452416,0.0033340358319586313,0.007763518256844825,0.0898869233590663,0.08233591351421797,0.005031849282579343,0.0031601517188629513,0.009998470690477771
0.5206011680396873,3.907355724930342e-05,0.0004490252826154917,0.16032045373385898,0.07823580780512517,0.053722236555959105,0.011891274013458186,0.007132056684306748,0.009707439328231185,0.018549161739885377,0.03498754062028191,0.011829307099175412,0.0034606120853994337,0.013997049843565815,0.007864093608299304,0.02967749668481502,0.013571705713746052,0.00802192732204062,0.003117150491737605,0.012825419790562082
